"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcpkix-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcpkix-jdk15on/1.55/bcpkix-jdk15on-1.55.jar,"The Bouncy Castle Java APIs for CMS, PKCS, EAC, TSP, CMP, CRMF, OCSP, and certificate generation. This jar contains APIs for JDK 1.5 to JDK 1.8. The APIs can be used in conjunction with a JCE/JCA provider such as the one provided with the Bouncy Castle Cryptography APIs.",Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,9e17685b340a4e22fec6733cf65ed5ac,6392d8cba22b722c6570d660ca0b3921ff1bae4f,pkg:maven/org.bouncycastle/bcpkix-jdk15on@1.55,cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*,CVE-2020-26939,CWE-203 Information Exposure Through Discrepancy,"In Legion of the Bouncy Castle BC before 1.61 and BC-FJA before 1.0.1.2, attackers can obtain sensitive information about a private exponent because of Observable Differences in Behavior to Error Inputs. This occurs in org.bouncycastle.crypto.encodings.OAEPEncoding. Sending invalid ciphertext that decrypts to a short payload in the OAEP Decoder could result in the throwing of an early exception, potentially leaking some information about the private exponent of the RSA private key performing the encryption.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,62,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000338,CWE-347 Improper Verification of Cryptographic Signature,"In Bouncy Castle JCE Provider version 1.55 and earlier the DSA does not fully validate ASN.1 encoding of signature on verification. It is possible to inject extra elements in the sequence making up the signature and still have it validate, which in some cases may allow the introduction of 'invisible' data into a signed structure.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000340,CWE-19 Data Processing Errors,"In the Bouncy Castle JCE Provider versions 1.51 to 1.55, a carry propagation bug was introduced in the implementation of squaring for several raw math classes have been fixed (org.bouncycastle.math.raw.Nat???). These classes are used by our custom elliptic curve implementations (org.bouncycastle.math.ec.custom.**), so there was the possibility of rare (in general usage) spurious calculations for elliptic curve scalar multiplications. Such errors would have been detected with high probability by the output validation for our scalar multipliers.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000342,CWE-347 Improper Verification of Cryptographic Signature,"In the Bouncy Castle JCE Provider version 1.55 and earlier ECDSA does not fully validate ASN.1 encoding of signature on verification. It is possible to inject extra elements in the sequence making up the signature and still have it validate, which in some cases may allow the introduction of 'invisible' data into a signed structure.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000343,CWE-310 Cryptographic Issues,"In the Bouncy Castle JCE Provider version 1.55 and earlier the DSA key pair generator generates a weak private key if used with default values. If the JCA key pair generator is not explicitly initialised with DSA parameters, 1.55 and earlier generates a private value assuming a 1024 bit key size. In earlier releases this can be dealt with by explicitly passing parameters to the key pair generator.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2018-1000180,CWE-327 Use of a Broken or Risky Cryptographic Algorithm,"Bouncy Castle BC 1.54 - 1.59, BC-FJA 1.0.0, BC-FJA 1.0.1 and earlier have a flaw in the Low-level interface to RSA key pair generator, specifically RSA Key Pairs generated in low-level API with added certainty may have less M-R tests than expected. This appears to be fixed in versions BC 1.60 beta 4 and later, BC-FJA 1.0.2 and later.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,HIGH,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000344,CWE-310 Cryptographic Issues,In the Bouncy Castle JCE Provider version 1.55 and earlier the DHIES implementation allowed the use of ECB mode. This mode is regarded as unsafe and support for it has been removed from the provider.,NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,HIGH,7.4,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000352,CWE-310 Cryptographic Issues,In the Bouncy Castle JCE Provider version 1.55 and earlier the ECIES implementation allowed the use of ECB mode. This mode is regarded as unsafe and support for it has been removed from the provider.,NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,HIGH,7.4,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000341,CWE-361 7PK - Time and State,"In the Bouncy Castle JCE Provider version 1.55 and earlier DSA signature generation is vulnerable to timing attack. Where timings can be closely observed for the generation of signatures, the lack of blinding in 1.55, or earlier, may allow an attacker to gain information about the signature's k value and ultimately the private value as well.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,5.9,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,54,"","","","","","","",""
java-sec-code,"Mon, 20 Nov 2023 12:53:35 +0500",bcprov-jdk15on-1.55.jar,/home/khannasa/.m2/repository/org/bouncycastle/bcprov-jdk15on/1.55/bcprov-jdk15on-1.55.jar,The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.,Bouncy Castle Licence: http://www.bouncycastle.org/licence.html,cbf56e979aba0e551a57953080e115f0,935f2e57a00ec2c489cbd2ad830d4a399708f979,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.55,"cpe:2.3:a:bouncycastle:bouncy-castle-crypto-package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:bouncy_castle_crypto_package:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:legion-of-the-bouncy-castle-java-crytography-api:1.55:*:*:*:*:*:*:*, cpe:2.3:a:bouncycastle:the_bouncy_castle_crypto_package_for_java:1.55:*:*:*:*:*:*:*",CVE-2016-1000345,CWE-361 7PK - Time and State,"In the Bouncy Castle JCE Provider version 1.55 and earlier the DHIES/ECIES CBC mode vulnerable to padding oracle attack. For BC 1.55 and older, in an environment where timings can be easily observed, it is possible with enough observations to identify when the decryption is failing due to padding.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,5.9,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,54,"","","","","","","",""
